EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	20:00:08	0	0.1000	2.889205614410067	2.7195746898651123	0.0	0.0	0.0	0.0
2	20:00:09	0	0.1000	2.453488544058776	2.513810396194458	0.0	0.0	0.0	0.0
3	20:00:11	0	0.1000	2.3618489290380746	2.4221789836883545	0.0	0.0	0.0	0.0
4	20:00:12	0	0.1000	2.2685550814707205	2.2958741188049316	0.0	0.0	0.0	0.0
5	20:00:13	0	0.1000	2.153174543333385	2.1546311378479004	0.0	0.0	0.0	0.0
6	20:00:14	0	0.1000	2.045169157288951	2.127260446548462	0.0	0.0	0.0	0.0
7	20:00:16	0	0.1000	1.9750786951463453	2.0270817279815674	0.0	0.0	0.0	0.0
8	20:00:17	0	0.1000	1.8950660096932153	1.9540516138076782	0.0	0.0	0.0	0.0
9	20:00:18	0	0.1000	1.8023624363343316	1.867714524269104	0.0	0.0	0.0	0.0
10	20:00:19	0	0.1000	1.7097249086311186	1.7830407619476318	0.0	0.0	0.0	0.0
11	20:00:20	1	0.1000	1.6573239944897438	1.7832340002059937	0.0	0.0	0.0	0.0
12	20:00:22	0	0.1000	1.6079791213297283	1.6905204057693481	0.0	0.0	0.0	0.0
13	20:00:23	0	0.1000	1.535457364852284	1.6667466163635254	0.0	0.0	0.0	0.0
14	20:00:24	0	0.1000	1.5039263020994962	1.611826777458191	0.0	0.0	0.0	0.0
15	20:00:25	0	0.1000	1.4590264591544087	1.6081271171569824	0.0	0.0	0.0	0.0
16	20:00:26	0	0.1000	1.4158371461617636	1.5458003282546997	0.0	0.0	0.0	0.0
17	20:00:27	1	0.1000	1.398097311333685	1.559977412223816	0.0	0.0	0.0	0.0
18	20:00:29	0	0.1000	1.3536425239792804	1.4987215995788574	0.0769	0.0219	0.034	0.0175
19	20:00:30	1	0.1000	1.3286819230717013	1.508446455001831	0.0645	0.0109	0.0187	0.0094
20	20:00:32	2	0.1000	1.3058398744595126	1.4539920091629028	0.0	0.0	0.0	0.0
21	20:00:33	3	0.1000	1.294393156191167	1.438145399093628	0.0	0.0	0.0	0.0
22	20:00:34	4	0.1000	1.2561999273315956	1.405656337738037	0.0	0.0	0.0	0.0
23	20:00:35	1	0.0500	1.1904811259335693	1.388840913772583	0.0	0.0	0.0	0.0
24	20:00:36	2	0.0500	1.187552711262051	1.383915901184082	0.0385	0.0055	0.0096	0.0049
25	20:00:38	3	0.0500	1.159332416816012	1.3947052955627441	0.0	0.0	0.0	0.0
26	20:00:39	4	0.0500	1.1506739606607912	1.3896715641021729	0.0	0.0	0.0	0.0
27	20:00:40	1	0.0250	1.1383474249588816	1.3706510066986084	0.0	0.0	0.0	0.0
28	20:00:41	2	0.0250	1.1240235082126935	1.366586685180664	0.0256	0.0055	0.009	0.0046
29	20:00:42	3	0.0250	1.114022399841733	1.3615491390228271	0.0	0.0	0.0	0.0
30	20:00:44	4	0.0250	1.1062877848226478	1.3741886615753174	0.0714	0.0219	0.0335	0.0172